ASV,Timepoint,treatment_diff,Treatment,condval,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV_ID,label,plastic_present,mode
1b5f92a1b622537f6bf18b99291b184c,T6,-1.084385424,ambient,0.5512217077,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
1b5f92a1b622537f6bf18b99291b184c,T6,-1.084385424,stress,-0.5331637163,Rhizaria;Foraminifera;Monothalamea;Monothalamea_ord_incertae_sedis;Monothalamea_fam_incertae_sedis;Allogromia;laticollaris;PR2,Rhizaria,Foraminifera,Monothalamea,Monothalamea_ord_incertae_sedis,Monothalamea_fam_incertae_sedis,Allogromia,laticollaris;PR2,ASV4608,Allogromia (ASV4608),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T0,0.3125977567,ambient,-0.05781455457,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T0,0.3125977567,stress,0.2547832022,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T1,0.3903313712,ambient,-0.03656547585,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T1,0.3903313712,stress,0.3537658953,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T2,0.6435023498,ambient,-0.04762790346,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T2,0.6435023498,stress,0.5958744463,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T3,0.3871828011,ambient,-0.03494723221,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T3,0.3871828011,stress,0.3522355689,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T4,0.3461962904,ambient,-0.04089927432,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T4,0.3461962904,stress,0.3052970161,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T5,0.2330072467,ambient,-0.03269128663,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T5,0.2330072467,stress,0.20031596,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
